0.100	-1.486
0.200	-1.019
0.300	-0.552
0.400	-0.085
0.500	0.382
0.600	0.850
0.700	1.317
0.800	1.784
0.900	2.251
1.000	2.718
1.100	3.185
1.200	3.652
1.300	4.119
1.400	4.586
1.500	5.053
1.600	5.521
1.700	5.988
1.800	6.455
1.900	6.922
2.000	7.389
2.100	8.659
2.200	9.928
2.300	11.198
2.400	12.468
2.500	13.738
2.600	15.007
2.700	16.277
2.800	17.547
2.900	18.816
3.000	20.086
3.100	23.537
3.200	26.988
3.300	30.440
3.400	33.891
3.500	37.342
3.600	40.793
3.700	44.244
3.800	47.696
3.900	51.147
4.000	54.598
4.100	63.979
4.200	73.361
4.300	82.742
4.400	92.124
4.500	101.506
4.600	110.887
4.700	120.269
4.800	129.650
4.900	139.032
5.000	148.413
5.100	173.915
5.200	199.416
5.300	224.918
5.400	250.419
5.500	275.921
5.600	301.423
5.700	326.924
5.800	352.426
5.900	377.927
6.000	403.429
6.100	472.749
6.200	542.070
6.300	611.390
6.400	680.711
6.500	750.031
6.600	819.351
6.700	888.672
6.800	957.992
6.900	1027.313
7.000	1096.633
7.100	1285.065
7.200	1473.498
7.300	1661.930
7.400	1850.363
7.500	2038.796
7.600	2227.228
7.700	2415.661
7.800	2604.093
7.900	2792.526
8.000	2980.958
8.100	3493.171
8.200	4005.383
8.300	4517.596
8.400	5029.808
8.500	5542.021
8.600	6054.234
8.700	6566.446
8.800	7078.659
8.900	7590.871
9.000	8103.084
9.100	9495.422
9.200	10887.760
9.300	12280.099
9.400	13672.437
9.500	15064.775
9.600	16457.113
9.700	17849.451
9.800	19241.790
9.900	20634.128
10.000	22026.466
