0.000	0.000
0.010	0.058
0.020	0.117
0.030	0.175
0.040	0.234
0.051	0.292
0.061	0.351
0.071	0.409
0.081	0.467
0.091	0.526
0.101	0.584
0.111	0.643
0.121	0.674
0.131	0.705
0.141	0.736
0.152	0.767
0.162	0.798
0.172	0.829
0.182	0.860
0.192	0.892
0.202	0.923
0.212	0.954
0.222	0.985
0.232	0.974
0.242	0.963
0.253	0.952
0.263	0.942
0.273	0.931
0.283	0.920
0.293	0.909
0.303	0.898
0.313	0.888
0.323	0.877
0.333	0.866
0.343	0.818
0.354	0.771
0.364	0.723
0.374	0.675
0.384	0.628
0.394	0.580
0.404	0.533
0.414	0.485
0.424	0.437
0.434	0.390
0.444	0.342
0.455	0.280
0.465	0.218
0.475	0.155
0.485	0.093
0.495	0.031
0.505	-0.031
0.515	-0.093
0.525	-0.155
0.535	-0.218
0.545	-0.280
0.556	-0.342
0.566	-0.390
0.576	-0.437
0.586	-0.485
0.596	-0.533
0.606	-0.580
0.616	-0.628
0.626	-0.675
0.636	-0.723
0.646	-0.771
0.657	-0.818
0.667	-0.866
0.677	-0.877
0.687	-0.888
0.697	-0.898
0.707	-0.909
0.717	-0.920
0.727	-0.931
0.737	-0.942
0.747	-0.952
0.758	-0.963
0.768	-0.974
0.778	-0.985
0.788	-0.954
0.798	-0.923
0.808	-0.892
0.818	-0.860
0.828	-0.829
0.838	-0.798
0.848	-0.767
0.859	-0.736
0.869	-0.705
0.879	-0.674
0.889	-0.643
0.899	-0.584
0.909	-0.526
0.919	-0.467
0.929	-0.409
0.939	-0.351
0.949	-0.292
0.960	-0.234
0.970	-0.175
0.980	-0.117
0.990	-0.058
1.000	-0.000
